wojewodztwo,powiat,nazwa_placowki,typ_placowki,publiczna_niepubliczna,adres,kod_pocztowy,miejscowosc,telefon,email,liczba_miejsc,dyrektor,organ_prowadzacy,zrodlo_danych,data_stanu
dolnoslaskie,kłodzki,"Zespół Placówek Opiekuńczo- Wychowawczych typu socjalizacyjnego Placówka Opiekuńczo- Wychowawcza 2 ""Szafirek""",socjalizacyjna,niepubliczna,Wandy 6A,57-300,Kłodzko,74 867 23 36,ddkl-wandy@post.pl,14,Kornelia Szmidt,Zgromadzenie Sióstr Służebniczek Najświętszej Maryi Panny Niepokalanie Poczętej,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,"Zespół Placówek Opiekuńczo- Wychowawczych typu socjalizacyjnego Placówka Opiekuńczo- Wychowawcza nr 3 ""Zawilec""",socjalizacyjna,niepubliczna,Wandy 6B,57-300,Kłodzko,74 867 23 36,ddkl-wandy@post.pl,14,Kornelia Szmidt,Zgromadzenie Sióstr Służebniczek Najświętszej Maryi Panny Niepokalanie Poczętej,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo-Wychowawcza typu Rodzinnego nr 3 w Bartnicy,rodzinna,publiczna,Bartnica 93,57-450,Ludwikowice Kłodzkie,667411133,anna_wlazlo@interia.pl,8,Anna Wlazło,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo-Wychowawcza typu Rodzinnego nr 4 w Krosnowicach,rodzinna,publiczna,Krosnowice 182,57-362,Krosnowice,74 868 53 95,moskalukdanuta@op.pl,8,Danuta Jakubowska - Moskaluk,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo-Wychowawcza typu Rodzinnego nr 5 w Nowej Rudzie,rodzinna,publiczna,Władysława Broniewskiego 1,57-402,Nowa Ruda,74 866 85 96 606715257,teresafelczak@interia.pl,8,Teresa Felczak,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo - Wychowawcza „Delta” w Nowej Rudzie,socjalizacyjna,publiczna,Fredry 47/1,57-400,Nowa Ruda,74 872 24 34,gromadka@iq.pl,10,Joanna Zachariasz,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,"Zespół Koedukacyjnych Placówek Opiekuńczo- Wychowawczych typu socjalizacyjnego ""Współnota Dziecięca Gromadka"" Placówka Opiekuńczo- Wychowawcza ""Alfa""",socjalizacyjna,publiczna,Fredry 47/2,57-400,Nowa Ruda,74 872 24 34,gromadka@iq.pl,14,Joanna Zachariasz,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,"Zespół Koedukacyjnych Placówek Opiekuńczo- Wychowawczych typu socjalizacyjnego ""Wspólnota Dziecięca Gromadka"" Placówka Opiekuńczo- Wychowawcza ""Omega""",socjalizacyjna,publiczna,Fredry 47/4,57-400,Nowa Ruda,74 872 24 34,gromadka@iq.pl,14,Joanna Zachariasz,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,"Zespół Koedukacyjnych Placówek Opiekuńczo- Wychowawczych typu socjalizacyjnego ""Współnota Dziecięca Gromadka"" Placówka Opiekuńczo- Wychowawcza ""Sigma""",socjalizacyjna,publiczna,Fredry 47/3,57-400,Nowa Ruda,74 872 24 34,gromadka@iq.pl,14,Joanna Zachariasz,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,Centrum Opiekuńczo-Wychowawcze Zgromadzenia Sióstr św. Elżbiety w Legnicy Dom Dziecka p.w. Matki Boskiej Częstochowskiej Zgromadzenia Sióstr św. Elżbiety,rodzinna,niepubliczna,Słubicka 13A,59-220,Legnica,76 862 04 32,centrumdzieci@interia.pl,8,S.M. Bernadetta Agnieszka Banach,Zgromadzenie Sióstr św. Elżbiety Prowincja Wrocławska,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,Centrum Opiekuńczo-Wychowawcze Zgromadzenia Sióstr św. Elżbiety w Legnicy Dom Dziecka p.w.Bł. Marii Luizy Merkert,socjalizacyjna,niepubliczna,Słubicka 13,59-220,Legnica,76 862 04 32,centrumdzieci@interia.pl,14,S.M. Bernadetta Agnieszka Banach,Zgromadzenie Sióstr św. Elżbiety Prowincja Wrocławska,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,Dom Dziecka,socjalizacyjna,publiczna,Wandy 10,59-220,Legnica,76 854 54 81,domdzieckalegnica@onet.pl,14,Ewa Watral,Miasto Legnica,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,"Placówka Opiekuńczo - Wychowawcza ""Dom dla Dzieci""",socjalizacyjna,publiczna,V Dywizji Piechoty 7,59-220,Legnica,76 854 54 81,domdzieckalegnica@onet.pl,12,Ewa Watral,Miasto Legnica,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,Rodzinny Dom Dziecka,rodzinna,publiczna,Heweliusza 12/1,59-220,Legnica,609041267,barbara.sobejko@gmail.com,5,Barbara Sobejko,Miasto Legnica,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,Placówka opiekuńczo - wychowawcza typu rodzinnego Lazurowy Dom,rodzinna,niepubliczna,Kalskiego 13,59-220,Legnica,508156792,iwona@fundacjaespa.org,8,Iwona Palimąka,Fundacja ESPA,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,Pogotowie Opiekuńcze,socjalizacyjna,publiczna,Wojska Polskiego 7/1,59-220,Legnica,76 723 31 50/55,po-sekretariat-legnica@wp.pl,14,Barbara Ryczek,Miasto Legnica,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Legnica,"Placówka Opiekuńczo - Wychowawcza ""Nasz Dom""",socjalizacyjna,publiczna,Wojska Polskiego 7/2,59-220,Legnica,76 723 31 50/55,po-sekretariat-legnica@wp.pl,14,Barbara Ryczek,Miasto Legnica,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,legnicki ziemski,Dom Dziecka w Golance Dolnej,socjalizacyjna,publiczna,Golanka Dolna 6,59-230,Prochowice,76 858 45 65,dd.golanka@powiat-legnicki.eu,14,Beata Kurzydło,Powiat Legnicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,legnicki,"Dom Dziecka ""Słoneczko"" w Golance Dolnej",rodzinna,publiczna,Golanka Dolna 6b,59-230,Prochowice,660789626,ddsloneczko@powiat-legnicki.eu,8,Monika Inglot - Werner,Powiat Legnicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubański,Ognisko Wychowawcze dla Dziewcząt,socjalizacyjna,niepubliczna,Wrocławska 17,59-800,Lubań,75 646 15 96,ognisko_luban@interia.pl,14,s. Magdalena Bartkiewicz,Zgromadzenie Sióstr Świętej Marii Magdaleny od Pokuty,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubański,Placówka Opiekuńczo-Wychowawcza nr 1,socjalizacyjna,publiczna,Długa 1/1,59-850,Świeradów Zdrój,75 781 80 49,pow@powiatluban.pl,14,Dariusz Mayer,Powiat Lubański,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubański,Placówka Opiekuńczo-Wychowawcza nr 2,socjalizacyjna,publiczna,Długa 1/2,59-850,Świeradów Zdrój,75 781 80 49,pow@powiatluban.pl,14,Dariusz Mayer,Powiat Lubański,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubiński,Placówka opiekuńczo – wychowawcza typu rodzinnego „Bajka” w Lubinie,rodzinna,publiczna,Miedziana 29/2,59-300,Lubin,783664544,bajka2020@op.pl,8,Jolanta Adamska,Powiat Lubiński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubiński,Placówka opiekuńczo – wychowawcza typu rodzinnego „Przyszłość” w Raszówce,rodzinna,publiczna,Gen.J. Bema 20,59-307,Raszówka,601569471,j.bielawska1974@onet.eu; powr@powiat-lubin.pl,8,Joanna Bielawska,Powiat Lubiński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubiński,Placówka opiekuńczo – wychowawcza typu rodzinnego „Przystań” w Składowicach,rodzinna,publiczna,Składowice 6,59-300,Składowice,505576712,pows@powiat-lubin.pl,8,Marcin Błaszczak,Powiat Lubiński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubiński,"""Dolina Budziszyńska""",socjalizacyjna,publiczna,Budziszyńska 6b,59-300,Lubin,534695612,dolinabudziszynska@pcpr.powiat-lubin.pl; pcpr@powiat-lubin.pl,14,Alina Tarczyńska,Powiat Lubiński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubiński,"""Srebrny Pałac""",socjalizacyjna+interwencyjna,publiczna,Wierzbowa 72a,59-300,Lubin,534695037,srebrnypalac@pcpr.powiat-lubin.pl; pcpr@powiat-lubin.pl,14,Alina Tarczyńska,Powiat Lubiński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,lubiński,"""Wrzosowa Kraina""",socjalizacyjna,publiczna,Bilińskiego 2,59-300,Lubin,531615422,wrzosowakraina@pcpr.powiat-lubin.pl; pcpr@powiat-lubin.pl,14,Alina Tarczyńska,Powiat Lubiński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,"placówka położona na terenie pow. lwóweckiego, prowadzona na zlecenie pow. zgorzeleckiego","Dom dla Dzieci ""Nadzieja""",socjalizacyjna,niepubliczna,Plac Wolności 35 I i II piętro,59-623,Lubomierz,601886022,ddzlubomierz@interia.pl,14,Marek Bartecki,Karkonoskie Stowarzyszenie Pomocy Dziecku i Rodzinie NADZIEJA w Jeleniej Górze,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,milicki,"Zespół Placówek Opiekuńczo-Wychowawczych ""Uśmiech Dziecka"" Placówka Opiekuńczo-Wychowawcza Wszewilki",socjalizacyjna,niepubliczna,Sulmierzycka 89,56-300,Wszewilki,516 54 70 76,dom-nad-barycza@wp.pl,14,Piotr Borowczyk,"Stowarzyszenie ""Razem dla Dzieci""",REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,milicki,"Zespół Placówek Opiekuńczo-Wychowawczych ""Uśmiech Dziecka"" Placówka Opiekuńczo-Wychowawcza Krośnice",socjalizacyjna,niepubliczna,Kwiatowa 1,56-320,Krośnice,71 389 67 88,dom-nad-barycza@wp.pl,14,Piotr Borowczyk,"Stowarzyszenie ""Razem dla Dzieci""",REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,oleśnicki,Powiatowa Placówka Opiekuńczo-Wychowawcza Nr 1 w Bierutowie,socjalizacyjna,publiczna,1 Maja 8c/1,56-420,Bierutów,71 314 62 72 573 977 556,pawelwolko@wp.pl; sekretariat@centrumopieki.org,14,Paweł Wolko,Powiat Oleśnicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,oleśnicki,Powiatowa Placówka Opiekuńczo-Wychowawcza Nr 3 w Bierutowie,interwencyjna,publiczna,1 Maja 9g/2,56-420,Bierutów,71 314 62 72 573 893 665,pawelwolko@wp.pl; sekretariat@centrumopieki.org,14,Paweł Wolko,Powiat Oleśnicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,oleśnicki,Powiatowa Placówka Opiekuńczo-Wychowawcza Nr 4 w Bierutowie,socjalizacyjna,publiczna,1 Maja 8c/2,56-420,Bierutów,71 314 62 72 573 684 209,pawelwolko@wp.pl; sekretariat@centrumopieki.org,14,Paweł Wolko,Powiat Oleśnicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,oławski,Dom Dziecka,socjalizacyjna,publiczna,Pl. Zamkowy 17,55-200,Oława,71 313 49 27,sekretariat@ddz-olawa.pl,14,Magdalena Górecka-Wołosiuk,Powiat Oławski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,polkowicki,"Powiatowe Centrum Pomocy Rodzinie Placówka Socjalizacyjna ""Egida"" w Polkowicach",socjalizacyjna,publiczna,Makowa 36,59-100,Polkowice,530 652 308; 76 729 92 33,pcpr@pcpr.polkowice.pl,14,Agnieszka Woźniak,Powiat Polkowicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,polkowicki,"Powiatowe Centrum Pomocy Rodzinie Placówka Socjalizacyjno-Interwencyjna ""Perspktywa"" w Polkowicach",socjalizacyjna+interwencyjna,publiczna,Górna 3/4-5,59-100,Polkowice,530 651 311; 76 729 92 33,pcpr@pcpr.polkowice.pl,10,Agnieszka Woźniak,Powiat Polkowicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,polkowicki,"Powiatowe Centrum Pomocy Rodzinie Placówka Socjalizacyjna ""Horyzont"" w Polkowicach",socjalizacyjna,publiczna,Górna 3/1-2,59-100,Polkowice,530 652 217; 76 729 92 33,pcpr@pcpr.polkowice.pl,10,Agnieszka Woźniak,Powiat Polkowicki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,strzeliński,Dom Dziecka w Strzelinie,socjalizacyjna,publiczna,E.Orzeszkowej 17,57-100,Strzelin,71 39 21 430; 798 473 091,sekretariat@zpow-strzelin.pl,14,Agnieszka Ruszek,Powiat Strzeliński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,strzeliński,Dom Dziecka w Ludowie Polskim,socjalizacyjna,publiczna,Ludów Polski 16 F,57-100,Ludów Polski,71 39 21 430; 518 301 689,sekretariat@zpow-strzelin.pl,14,Agnieszka Ruszek,Powiat Strzeliński,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,średzki,Placówka Opiekuńczo-Wychowawcza Typu Socjalizacyjnego w Środzie Ślaskiej,socjalizacyjna,publiczna,Kilińskiego 30,55-300,Środa Śląska,71 317 41 71,wpow@powiat-sredzki.pl,14,Michał Bryk,Powiat Średzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,świdnicki,"Placówka Opiekuńczo-Wychowawcza ""Chata SKSK"" Świdnica",socjalizacyjna,niepubliczna,Wielecka 22,58-100,Świdnica,74 853 39 18,chatasksk.swidnica@onet.pl,14,Witold Stempniak,Fundacja Ziemi Świdnickiej na rzecz Wspierania Profesjonalnej Pomocy „SKSK”,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,świdnicki,"Placówka Opiekuńczo-Wychowawcza ""Chata SKSK"" Świdnica",socjalizacyjna,niepubliczna,Sikorskiego 62A,58-100,Świdnica,74 856 88 48,chataswidnica2@op.pl,14,Beata Stempniak,Fundacja Ziemi Świdnickiej na rzecz Wspierania Profesjonalnej Pomocy „SKSK”,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,świdnicki,"Placówka opiekuńczo - wychowawcza ""Chatka SKSK""",rodzinna,niepubliczna,Kolberga 7,58-100,Świdnica,693336125,witbet@op.pl,8,Beata Stempniak,Fundacja Ziemi Świdnickiej na rzecz Wspierania Profesjonalnej Pomocy „SKSK”,REJESTR_POW_31_12_2024.xls,2024-12-31
